first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,postcode,state,country,property_valuation,Rank,Value,age
Chickie,Brister,Male,86,General Manager,Manufacturing,Mass Customer,Yes,14,4500,QLD,Australia,6,1,1.71875,63.0
Morly,Genery,Male,69,Structural Engineer,Property,Mass Customer,No,16,2113,NSW,Australia,11,1,1.71875,50.0
Ardelis,Forrester,Female,10,Senior Cost Accountant,Financial Services,Affluent Customer,No,10,3505,VIC,Australia,5,1,1.71875,45.0
Lucine,Stutt,Female,64,Account Representative III,Manufacturing,Affluent Customer,Yes,5,4814,QLD,Australia,1,4,1.703125,41.0
Melinda,Hadlee,Female,34,Financial Analyst,Financial Services,Affluent Customer,No,19,2093,NSW,Australia,9,4,1.703125,54.0
Druci,Brandli,Female,39,Assistant Media Planner,Entertainment,High Net Worth,Yes,22,4075,QLD,Australia,7,6,1.671875,69.0
Rutledge,Hallt,Male,23,Compensation Analyst,Financial Services,Mass Customer,No,8,2620,NSW,Australia,7,6,1.671875,43.0
Nancie,Vian,Female,74,Human Resources Assistant II,Retail,Mass Customer,Yes,10,4814,QLD,Australia,5,8,1.65625,47.0
Duff,Karlowicz,Male,50,Speech Pathologist,Manufacturing,Mass Customer,Yes,5,2200,NSW,Australia,10,8,1.65625,48.0
Barthel,Docket,Male,72,Accounting Assistant IV,IT,Mass Customer,Yes,17,4151,QLD,Australia,5,10,1.640625,34.0
Rockwell,Matson,Male,94,Programmer Analyst I,Retail,High Net Worth,No,3,4573,QLD,Australia,6,10,1.640625,25.0
Wheeler,Winward,Male,48,Environmental Specialist,Manufacturing,Mass Customer,No,10,3216,VIC,Australia,8,12,1.625,20.0
Olag,Winward,Male,60,Human Resources Manager,Telecommunications,Mass Customer,No,9,2032,NSW,Australia,11,13,1.609375,30.0
Melba,Spellacy,Female,38,VP Marketing,Health,Mass Customer,No,4,2232,NSW,Australia,10,14,1.59375,43.0
Mandie,Feares,Female,32,Clinical Specialist,Health,Mass Customer,No,10,4053,QLD,Australia,8,14,1.59375,56.0
Dukie,Swire,Male,88,Programmer I,Manufacturing,Affluent Customer,Yes,5,2500,NSW,Australia,8,16,1.5625,66.0
Marcelia,Monkleigh,Female,61,Associate Professor,Manufacturing,Mass Customer,Yes,4,4051,QLD,Australia,6,17,1.546875,26.0
Winnifred,Beswetherick,Female,83,Actuary,Financial Services,Mass Customer,No,14,3040,VIC,Australia,10,17,1.546875,44.0
Odilia,Quick,Female,65,General Manager,Manufacturing,Affluent Customer,Yes,11,2222,NSW,Australia,11,19,1.53125,81.0
Karly,Willavize,Female,2,Internal Auditor,Manufacturing,High Net Worth,No,12,2190,NSW,Australia,10,19,1.53125,65.0
Teddie,Burchill,Male,11,Programmer I,Manufacturing,Mass Customer,Yes,13,2161,NSW,Australia,9,21,1.515625,51.0
Gaston,Dallaghan,Male,44,Financial Analyst,Financial Services,Mass Customer,Yes,8,2783,NSW,Australia,7,21,1.515625,26.0
Otis,Ottey,Male,26,Quality Engineer,Manufacturing,Mass Customer,No,3,4744,QLD,Australia,4,23,1.5,22.0
Tabbatha,Averill,Female,5,Quality Control Specialist,Health,Affluent Customer,Yes,13,2257,NSW,Australia,8,23,1.5,42.0
Brena,Schnitter,Female,78,Account Executive,Manufacturing,Mass Customer,No,4,4703,QLD,Australia,5,25,1.484375,37.0
Rourke,Gillbard,Male,11,Safety Technician I,Property,Mass Customer,No,17,4817,QLD,Australia,4,26,1.46875,74.0
Dyane,Burwell,Female,19,Engineer II,Retail,Mass Customer,Yes,7,2640,NSW,Australia,2,26,1.46875,68.0
Claudine,Barstowk,Female,71,Nurse,Property,High Net Worth,Yes,5,4000,QLD,Australia,11,26,1.46875,53.0
Blinnie,Roze,Female,84,Librarian,Entertainment,High Net Worth,No,11,4171,QLD,Australia,7,26,1.46875,59.0
Rhona,De Freyne,Female,45,Programmer III,Health,High Net Worth,No,8,3056,VIC,Australia,10,30,1.4609375,59.0
Sharron,Claibourn,Female,62,General Manager,Financial Services,High Net Worth,Yes,17,2280,NSW,Australia,8,30,1.4609375,40.0
Brien,Heaton,Male,70,Clinical Specialist,Health,Mass Customer,Yes,12,2470,NSW,Australia,2,32,1.453125,68.0
Sybilla,MacCart,Female,88,Paralegal,Financial Services,Mass Customer,Yes,7,2620,NSW,Australia,7,32,1.453125,33.0
Mikel,McNess,Male,71,Nurse,IT,Mass Customer,No,9,4122,QLD,Australia,9,32,1.453125,38.0
Maisie,Maddox,Female,27,Assistant Manager,Financial Services,Affluent Customer,No,20,3226,VIC,Australia,9,32,1.453125,43.0
Arleen,Casbolt,Female,48,Senior Quality Engineer,Financial Services,Affluent Customer,Yes,13,4817,QLD,Australia,1,36,1.44765625,45.0
Farlie,Petford,Male,76,Recruiting Manager,Health,High Net Worth,No,13,2017,NSW,Australia,10,36,1.44765625,52.0
Mitchell,MacCague,Male,58,Accountant II,Manufacturing,Mass Customer,No,15,3190,VIC,Australia,8,38,1.4375,41.0
Garik,Whitwell,Male,44,Help Desk Technician,Property,Mass Customer,Yes,13,3280,VIC,Australia,2,38,1.4375,65.0
Antonin,Britt,Male,64,Speech Pathologist,Manufacturing,Affluent Customer,Yes,8,2160,NSW,Australia,9,40,1.434375,26.0
Vinny,Incogna,Female,73,Developer III,Health,High Net Worth,No,10,2756,NSW,Australia,8,40,1.434375,67.0
Colene,Fishleigh,Female,24,Design Engineer,Financial Services,Mass Customer,No,3,3149,VIC,Australia,10,42,1.421875,35.0
Neile,Argent,Female,79,Help Desk Operator,Retail,Mass Customer,No,8,2024,NSW,Australia,10,42,1.421875,73.0
Corinna,Suggey,Female,52,Design Engineer,Entertainment,Affluent Customer,No,9,2761,NSW,Australia,8,44,1.42109375,53.0
Brooke,Arling,Male,76,Research Assistant I,Financial Services,High Net Worth,No,6,3027,VIC,Australia,5,44,1.42109375,58.0
Gipsy,Ewestace,Female,29,Business Systems Development Analyst,Retail,High Net Worth,Yes,5,2034,NSW,Australia,12,46,1.4078125,63.0
Sheena,Kybbye,Female,14,Paralegal,Financial Services,Affluent Customer,Yes,19,4852,QLD,Australia,1,46,1.4078125,64.0
Jobina,Gobourn,Female,85,VP Quality Control,Retail,High Net Worth,Yes,14,4305,QLD,Australia,4,46,1.4078125,25.0
Gale,Disbrow,Female,59,Cost Accountant,Financial Services,Mass Customer,Yes,17,3741,VIC,Australia,7,46,1.4078125,43.0
Thaxter,Kingsbury,Male,12,Product Engineer,Argiculture,Mass Customer,No,20,2067,NSW,Australia,12,50,1.40625,70.0
Heinrick,Shilstone,Male,60,Graphic Designer,Manufacturing,Affluent Customer,No,10,3174,VIC,Australia,8,50,1.40625,42.0
Taylor,Steuhlmeyer,Male,62,Paralegal,Financial Services,Affluent Customer,Yes,5,4017,QLD,Australia,8,52,1.39453125,21.0
Griswold,Kelsall,Male,55,Social Worker,Health,High Net Worth,Yes,11,3805,VIC,Australia,7,52,1.39453125,26.0
Odessa,Mc Andrew,Female,97,Geologist III,Property,Mass Customer,No,8,2232,NSW,Australia,10,54,1.38125,38.0
Lavena,Seekings,Female,87,Payment Adjustment Coordinator,Retail,Mass Customer,No,16,3166,VIC,Australia,10,54,1.38125,25.0
Martelle,Tuppeny,Female,52,Marketing Assistant,Manufacturing,Mass Customer,No,9,2226,NSW,Australia,10,54,1.38125,39.0
